date,price
2006-01-01,24444.44
2006-02-01,26111.11
2006-03-01,33958.33
2006-04-01,34750.0
2006-05-01,32083.33
2006-06-01,27750.0
2006-07-01,26136.36
2006-08-01,22659.09
2006-09-01,19181.82
2006-10-01,20000.0
2006-11-01,18250.0
2006-12-01,16500.0
2007-01-01,11800.0
2007-02-01,10100.0
2007-03-01,13100.0
2007-04-01,13400.0
2007-05-01,12300.0
2007-06-01,12250.0
2007-07-01,10100.0
2007-08-01,10600.0
2007-09-01,12450.0
2007-10-01,14300.0
2007-11-01,18500.0
2007-12-01,24050.0
2008-01-01,29600.0
2008-02-01,28000.0
2008-03-01,31200.0
2008-04-01,34200.0
2008-05-01,25900.0
2008-06-01,28250.0
2008-07-01,30000.0
2008-08-01,30000.0
2008-09-01,22929.0
2008-10-01,24300.0
2008-11-01,26045.0
2008-12-01,30522.5
2009-01-01,35000.0
2009-02-01,35000.0
2009-03-01,35000.0
2009-04-01,29700.0
2009-05-01,32812.5
2009-06-01,29666.67
2009-07-01,28833.335
2009-08-01,28000.0
2009-09-01,31000.0
2009-10-01,35000.0
2009-11-01,35000.0
2009-12-01,35000.0
2010-01-01,35000.0
2010-02-01,40000.0
2010-03-01,40000.0
2010-04-01,40000.0
2010-05-01,34000.0
2010-06-01,26885.0
2010-07-01,25000.0
2010-08-01,25769.0
2010-09-01,25786.0
2010-10-01,24769.0
2010-11-01,24000.0
2010-12-01,26500.0
2011-01-01,41333.0
2011-02-01,30500.0
2011-03-01,33000.0
2011-04-01,34091.0
2011-05-01,36000.0
2011-06-01,35000.0
2011-07-01,33333.333333333336
2011-08-01,31666.666666666668
2011-09-01,30000.0
2011-10-01,30417.0
2011-11-01,35038.0
2011-12-01,34057.5
2012-01-01,33077.0
2012-02-01,32642.0
2012-03-01,32833.0
2012-04-01,35727.0
2012-05-01,49538.0
2012-06-01,39000.0
2012-07-01,38077.0
2012-08-01,37476.0
2012-09-01,36875.0
2012-10-01,46100.0
2012-11-01,55438.89
2012-12-01,64777.78
2013-01-01,68750.0
2013-02-01,75454.55
2013-03-01,76000.0
2013-04-01,67500.0
2013-05-01,67000.0
2013-06-01,50000.0
2013-07-01,38468.75
2013-08-01,39305.5
2013-09-01,39625.0
2013-10-01,36916.75
2013-11-01,37500.0
2013-12-01,38000.0
2014-01-01,38500.0
2014-02-01,38500.0
2014-03-01,44208.0
2014-04-01,38900.0
2014-05-01,39576.92
2014-06-01,37625.0
2014-07-01,33955.0
2014-08-01,33333.0
2014-09-01,28692.0
2014-10-01,27328.0
2014-11-01,25964.0
2014-12-01,26269.0
2015-01-01,27318.0
2015-02-01,27000.0
2015-03-01,32833.0
2015-04-01,40909.0
2015-05-01,38208.0
2015-06-01,40389.0
2015-07-01,42593.0
2015-08-01,44765.666666666664
2015-09-01,46938.333333333336
2015-10-01,49111.0
2015-11-01,53591.0
2015-12-01,57000.0
2016-01-01,58636.0
2016-02-01,60800.0
2016-03-01,61000.0
2016-04-01,58648.0
2016-05-01,52100.0
2016-06-01,49833.0
2016-07-01,60000.0
2016-08-01,48833.0
2016-09-01,47500.0
2016-10-01,48000.0
2016-11-01,59178.5
2016-12-01,70357.0
2017-01-01,83000.0
2017-02-01,93611.11
2017-03-01,102916.67
2017-04-01,98000.0
2017-05-01,97944.44
2017-06-01,84700.0
2017-07-01,81200.0
2017-08-01,89600.0
2017-09-01,58800.0
2017-10-01,46800.0
2017-11-01,32200.0
2017-12-01,38500.0
2018-01-01,44800.0
2018-02-01,44200.0
2018-03-01,43600.0
2018-04-01,43000.0
2018-05-01,43000.0
2018-06-01,36666.67
2018-07-01,34250.0
2018-08-01,32000.0
2018-09-01,30545.45
2018-10-01,26111.11
2018-11-01,28772.73
2018-12-01,32636.364999999998
2019-01-01,36500.0
2019-02-01,37722.22
2019-03-01,35454.55
2019-04-01,39333.33
2019-05-01,41562.5
2019-06-01,45000.0
2019-07-01,49375.0
2019-08-01,50000.0
2019-09-01,61045.455
2019-10-01,72090.91
2019-11-01,71954.545
2019-12-01,71818.18
2020-01-01,79000.0
2020-02-01,80833.33
2020-03-01,67807.69
2020-04-01,59750.0
2020-05-01,46083.0
2020-06-01,46444.0
2020-07-01,46680.5
2020-08-01,46917.0
2020-09-01,46722.0
2020-10-01,47857.0
2020-11-01,51042.0
2020-12-01,49056.0
2021-01-01,47000.0
